dep,last_date,path_data,n_jobs,n_jobs_text,time,id_uuid
piura,25-09-2024,/data/piura/25-09-2024.csv,41,41 puesto(s) encontrado(s) en total.,,b941b238-932a-4d45-8cfb-2ba305d87a1a
cusco,25-09-2024,/data/cusco/25-09-2024.csv,224,224 puesto(s) encontrado(s) en total.,,02743c6a-712f-4413-908b-230b60ae20cb
puno,25-09-2024,/data/puno/25-09-2024.csv,204,204 puesto(s) encontrado(s) en total.,,a1cfe903-a0a8-4cd6-b329-d1f7803f1ac8
san_martin,25-09-2024,/data/san_martin/25-09-2024.csv,55,55 puesto(s) encontrado(s) en total.,,3c7c7fe5-9349-4428-bc15-f26d87cc6ed8
lima,25-09-2024,/data/lima/25-09-2024.csv,1326,1326 puesto(s) encontrado(s) en total.,,63223529-0263-49f4-bc53-2950c6a6c7a0
tacna,25-09-2024,/data/tacna/25-09-2024.csv,65,65 puesto(s) encontrado(s) en total.,,c21c4dd5-0cd0-494c-b208-820bd2f80d0a
tumbes,25-09-2024,/data/tumbes/25-09-2024.csv,20,20 puesto(s) encontrado(s) en total.,,7e933fbc-34b6-4c1e-8de2-cbea2e5e21e7
huancavelica,25-09-2024,/data/huancavelica/25-09-2024.csv,115,115 puesto(s) encontrado(s) en total.,,c8dfb976-a749-4f3a-81e0-9f55d9716c21
huanuco,25-09-2024,/data/huanuco/25-09-2024.csv,135,135 puesto(s) encontrado(s) en total.,,e75a90c0-4c2a-49f5-8612-1eb5eaffd9d7
ica,25-09-2024,/data/ica/25-09-2024.csv,36,36 puesto(s) encontrado(s) en total.,,fc1eab37-6b7d-458b-98bc-1c9373cdcf82
ucayali,25-09-2024,/data/ucayali/25-09-2024.csv,183,183 puesto(s) encontrado(s) en total.,,e0ee76f5-343c-48f3-bae4-177899669203
junin,25-09-2024,/data/junin/25-09-2024.csv,240,240 puesto(s) encontrado(s) en total.,,cc59d11c-c260-4854-86bc-c739d077e519
amazonas,26-09-2024,/data/amazonas/26-09-2024.csv,47,47 puesto(s) encontrado(s) en total.,,44788d86-39b0-4993-a35b-04bd5b849f8b
ancash,26-09-2024,/data/ancash/26-09-2024.csv,44,44 puesto(s) encontrado(s) en total.,,9a91914c-ff82-46a6-a749-56105ac51226
